# Country Folk Indie Jazz Metal Pop Rock
0.04735 0.00443 0.01283 0.01967 0.01352 0.55467 0.34753
0.04660 0.00429 0.01221 0.01706 0.01279 0.60258 0.30445
0.04788 0.00432 0.01232 0.01635 0.01284 0.56181 0.34449
0.04298 0.00383 0.01175 0.01389 0.01159 0.59590 0.32007
0.04306 0.00377 0.01159 0.01360 0.01133 0.59823 0.31841
0.04291 0.00377 0.01149 0.01398 0.01139 0.60540 0.31106
0.04775 0.00439 0.01252 0.01787 0.01361 0.54033 0.36354
0.04218 0.00375 0.01161 0.01355 0.01100 0.61016 0.30774
0.05856 0.00635 0.01390 0.03094 0.01980 0.40420 0.46626
0.05165 0.00477 0.01307 0.02027 0.01465 0.53408 0.36149
0.04943 0.00502 0.01369 0.02041 0.01639 0.50115 0.39391
0.04482 0.00425 0.01221 0.01545 0.01283 0.56851 0.34194
0.04779 0.00436 0.01274 0.01818 0.01362 0.52303 0.38029
0.04792 0.00450 0.01316 0.01856 0.01475 0.51687 0.38423
0.04515 0.00403 0.01212 0.01509 0.01302 0.58754 0.32307
0.04488 0.00419 0.01210 0.01612 0.01276 0.55859 0.35137
0.04419 0.00391 0.01178 0.01487 0.01164 0.58133 0.33229
0.04409 0.00397 0.01188 0.01413 0.01220 0.58252 0.33121
0.04260 0.00380 0.01176 0.01409 0.01132 0.57720 0.33923
0.05445 0.00506 0.01355 0.02548 0.01746 0.53071 0.35330
0.04156 0.00366 0.01130 0.01280 0.01072 0.61233 0.30763
0.04644 0.00426 0.01220 0.01637 0.01236 0.55376 0.35460
0.04464 0.00411 0.01210 0.01551 0.01223 0.58304 0.32837
0.04137 0.00366 0.01132 0.01277 0.01087 0.60434 0.31567
0.05256 0.00489 0.01326 0.02204 0.01609 0.47429 0.41687
0.04577 0.00402 0.01234 0.01610 0.01273 0.56374 0.34530
0.04778 0.00441 0.01262 0.01890 0.01306 0.57309 0.33014
0.04410 0.00391 0.01176 0.01443 0.01179 0.57210 0.34191
0.04264 0.00371 0.01153 0.01352 0.01137 0.60357 0.31366
0.04395 0.00395 0.01177 0.01443 0.01173 0.59171 0.32246
0.04315 0.00388 0.01182 0.01427 0.01160 0.59730 0.31797
0.04143 0.00363 0.01131 0.01270 0.01077 0.60657 0.31359
0.04302 0.00389 0.01186 0.01456 0.01177 0.58143 0.33348
0.04512 0.00403 0.01177 0.01622 0.01174 0.61069 0.30043
0.04610 0.00431 0.01243 0.01751 0.01296 0.57518 0.33151
0.04476 0.00394 0.01198 0.01452 0.01252 0.58265 0.32963
0.04601 0.00407 0.01235 0.01570 0.01247 0.59408 0.31532
0.04611 0.00423 0.01245 0.01546 0.01284 0.57701 0.33190
0.04493 0.00408 0.01217 0.01677 0.01216 0.58050 0.32938
0.04341 0.00377 0.01169 0.01400 0.01147 0.60716 0.30850
0.04239 0.00377 0.01164 0.01396 0.01118 0.58600 0.33105
0.04933 0.00440 0.01270 0.01740 0.01374 0.53288 0.36955
0.04574 0.00400 0.01206 0.01503 0.01209 0.58917 0.32191
0.04260 0.00377 0.01159 0.01425 0.01182 0.59543 0.32053
0.04235 0.00376 0.01159 0.01321 0.01156 0.58939 0.32812
0.07542 0.00803 0.01715 0.05457 0.03411 0.34905 0.46167
0.04124 0.00363 0.01135 0.01290 0.01073 0.60806 0.31208
0.04352 0.00389 0.01156 0.01434 0.01139 0.60511 0.31018
0.04591 0.00419 0.01234 0.01711 0.01246 0.60976 0.29823
0.04283 0.00388 0.01202 0.01435 0.01204 0.58194 0.33293
0.04451 0.00415 0.01186 0.01486 0.01234 0.59234 0.31993
0.04469 0.00396 0.01204 0.01490 0.01205 0.58409 0.32826
0.04255 0.00376 0.01163 0.01476 0.01150 0.60025 0.31555
0.04535 0.00407 0.01229 0.01546 0.01227 0.58109 0.32948
0.04715 0.00447 0.01252 0.01741 0.01317 0.54581 0.35946
0.05479 0.00519 0.01463 0.02385 0.01791 0.46205 0.42159
0.04156 0.00368 0.01143 0.01316 0.01089 0.59360 0.32567
0.04617 0.00408 0.01241 0.01557 0.01248 0.59580 0.31349
0.04885 0.00477 0.01302 0.02202 0.01511 0.54346 0.35276
0.05036 0.00495 0.01354 0.02053 0.01616 0.53912 0.35534
0.04718 0.00420 0.01220 0.01679 0.01276 0.58020 0.32667
0.04527 0.00419 0.01224 0.01654 0.01286 0.57579 0.33312
0.04311 0.00382 0.01191 0.01431 0.01164 0.59148 0.32373
0.04473 0.00404 0.01201 0.01544 0.01226 0.56409 0.34744
0.04915 0.00454 0.01359 0.01884 0.01361 0.56808 0.33219
0.04181 0.00370 0.01135 0.01349 0.01091 0.60591 0.31282
0.04465 0.00416 0.01225 0.01518 0.01213 0.57062 0.34101
0.04315 0.00388 0.01177 0.01457 0.01151 0.59771 0.31740
0.04788 0.00453 0.01291 0.01623 0.01461 0.53298 0.37086
0.04445 0.00417 0.01199 0.01577 0.01210 0.55202 0.35950
0.05679 0.00588 0.01442 0.02585 0.01860 0.51805 0.36041
0.04472 0.00407 0.01221 0.01493 0.01241 0.58085 0.33081
0.04274 0.00388 0.01170 0.01442 0.01162 0.58763 0.32801
0.04269 0.00373 0.01155 0.01357 0.01115 0.60017 0.31713
0.04242 0.00382 0.01151 0.01307 0.01114 0.60249 0.31555
0.04203 0.00372 0.01137 0.01355 0.01110 0.60195 0.31628
0.04534 0.00426 0.01201 0.01477 0.01220 0.58647 0.32495
0.04281 0.00388 0.01183 0.01418 0.01170 0.58185 0.33375
0.04410 0.00382 0.01181 0.01393 0.01164 0.60123 0.31348
0.05738 0.00683 0.01404 0.02708 0.02037 0.53314 0.34114
0.04512 0.00418 0.01218 0.01721 0.01253 0.56998 0.33881
0.04473 0.00412 0.01207 0.01517 0.01240 0.59090 0.32060
0.04595 0.00424 0.01239 0.01523 0.01312 0.55095 0.35812
0.04340 0.00382 0.01172 0.01354 0.01170 0.59342 0.32240
0.04419 0.00399 0.01199 0.01520 0.01186 0.56613 0.34664
0.04380 0.00394 0.01189 0.01472 0.01159 0.58179 0.33227
0.04439 0.00407 0.01197 0.01566 0.01236 0.58513 0.32642
0.04405 0.00398 0.01173 0.01534 0.01162 0.58221 0.33107
0.05160 0.00467 0.01354 0.01858 0.01470 0.53283 0.36408
0.04453 0.00405 0.01184 0.01533 0.01226 0.59295 0.31904
0.04081 0.00359 0.01123 0.01246 0.01048 0.60721 0.31423
0.06398 0.00675 0.01613 0.03097 0.02671 0.38640 0.46905
0.04330 0.00383 0.01179 0.01330 0.01160 0.57459 0.34160
0.04796 0.00451 0.01286 0.01854 0.01362 0.53592 0.36660
0.04614 0.00416 0.01244 0.01711 0.01272 0.56072 0.34671
0.04187 0.00377 0.01155 0.01322 0.01123 0.59720 0.32116
0.04177 0.00365 0.01137 0.01321 0.01076 0.60145 0.31779
0.04896 0.00459 0.01297 0.01888 0.01444 0.53434 0.36582
0.05270 0.00523 0.01350 0.02559 0.01553 0.52640 0.36104
0.04993 0.00482 0.01321 0.01966 0.01539 0.51633 0.38066
0.04387 0.00397 0.01197 0.01437 0.01189 0.58831 0.32562
0.04153 0.00365 0.01125 0.01324 0.01072 0.61046 0.30916
0.04195 0.00377 0.01152 0.01350 0.01117 0.59965 0.31842
0.04401 0.00399 0.01204 0.01443 0.01229 0.57329 0.33995
0.04719 0.00433 0.01258 0.01736 0.01307 0.57324 0.33223
0.05976 0.00592 0.01510 0.03078 0.01931 0.40485 0.46428
0.04385 0.00387 0.01172 0.01425 0.01150 0.58938 0.32543
0.04564 0.00414 0.01227 0.01692 0.01360 0.57656 0.33087
0.04312 0.00389 0.01175 0.01410 0.01169 0.58500 0.33045
0.04686 0.00436 0.01247 0.01680 0.01319 0.57418 0.33214
0.04173 0.00376 0.01137 0.01310 0.01092 0.60652 0.31259
0.04548 0.00411 0.01178 0.01466 0.01203 0.61570 0.29624
0.06066 0.00658 0.01602 0.03607 0.01946 0.55798 0.30324
0.05515 0.00558 0.01462 0.02243 0.01950 0.47984 0.40288
0.04807 0.00439 0.01234 0.01762 0.01350 0.57800 0.32608
0.06179 0.00658 0.01520 0.02986 0.02130 0.49320 0.37207
0.05287 0.00629 0.01340 0.02368 0.01597 0.66524 0.22255
0.04361 0.00384 0.01171 0.01430 0.01148 0.58995 0.32511
0.04661 0.00436 0.01210 0.01781 0.01283 0.58959 0.31670
0.04479 0.00412 0.01228 0.01435 0.01286 0.54479 0.36681
0.05104 0.00474 0.01341 0.02096 0.01589 0.52824 0.36573
0.04359 0.00405 0.01189 0.01385 0.01195 0.58215 0.33252
0.04152 0.00371 0.01136 0.01332 0.01091 0.60148 0.31771
0.04280 0.00384 0.01164 0.01407 0.01121 0.58170 0.33474
0.04472 0.00400 0.01194 0.01519 0.01181 0.58277 0.32957
0.04256 0.00380 0.01162 0.01398 0.01113 0.59165 0.32526
0.06052 0.00664 0.01528 0.03618 0.02349 0.45122 0.40666
0.04808 0.00455 0.01250 0.01740 0.01310 0.55991 0.34446
0.04307 0.00381 0.01170 0.01400 0.01134 0.58967 0.32641
0.04631 0.00415 0.01273 0.01757 0.01379 0.56879 0.33667
0.04256 0.00383 0.01186 0.01451 0.01165 0.59290 0.32269
0.04554 0.00407 0.01218 0.01637 0.01249 0.55907 0.35028
0.05060 0.00485 0.01306 0.02208 0.01541 0.51310 0.38090
0.04769 0.00432 0.01270 0.01676 0.01346 0.55805 0.34703
0.04312 0.00381 0.01166 0.01363 0.01121 0.60167 0.31489
0.04399 0.00394 0.01186 0.01466 0.01188 0.58729 0.32638
0.04495 0.00401 0.01188 0.01581 0.01226 0.58138 0.32971
0.04219 0.00381 0.01171 0.01464 0.01165 0.60707 0.30893
0.04628 0.00430 0.01256 0.01682 0.01374 0.57309 0.33321
0.04343 0.00392 0.01161 0.01392 0.01178 0.59060 0.32475
0.04390 0.00390 0.01178 0.01448 0.01170 0.59624 0.31799
0.04366 0.00399 0.01191 0.01494 0.01190 0.60098 0.31261
0.04459 0.00400 0.01205 0.01521 0.01221 0.57633 0.33562
0.04402 0.00401 0.01188 0.01498 0.01199 0.57877 0.33436
0.04546 0.00423 0.01236 0.01600 0.01242 0.56919 0.34034
0.05475 0.00556 0.01552 0.02733 0.01867 0.43923 0.43894
0.04459 0.00402 0.01218 0.01529 0.01259 0.57396 0.33737
0.04336 0.00382 0.01164 0.01344 0.01154 0.59723 0.31898
0.05796 0.00578 0.01509 0.02762 0.02032 0.52062 0.35260
0.04754 0.00439 0.01281 0.01925 0.01419 0.54896 0.35286
0.04965 0.00458 0.01294 0.01879 0.01368 0.54077 0.35960
0.06935 0.00744 0.01658 0.03678 0.03188 0.42206 0.41592
0.04561 0.00409 0.01218 0.01521 0.01237 0.57912 0.33143
0.04346 0.00402 0.01175 0.01423 0.01188 0.59746 0.31720
0.04404 0.00401 0.01207 0.01498 0.01207 0.57109 0.34175
0.04251 0.00377 0.01153 0.01368 0.01127 0.59995 0.31730
0.04909 0.00453 0.01249 0.01821 0.01372 0.55815 0.34381
0.04248 0.00370 0.01160 0.01333 0.01123 0.59893 0.31873
0.05028 0.00479 0.01315 0.02184 0.01429 0.49849 0.39715
0.04544 0.00416 0.01230 0.01624 0.01245 0.55481 0.35459
0.04823 0.00456 0.01235 0.01894 0.01365 0.56757 0.33470
0.05053 0.00470 0.01355 0.01935 0.01532 0.52277 0.37378
0.06026 0.00658 0.01471 0.02852 0.02104 0.42195 0.44695
0.04515 0.00411 0.01208 0.01599 0.01237 0.57582 0.33448
0.04402 0.00390 0.01187 0.01455 0.01173 0.58467 0.32927
0.05542 0.00549 0.01414 0.02422 0.01672 0.55925 0.32476
0.05422 0.00540 0.01416 0.02449 0.01743 0.50944 0.37486
0.04504 0.00406 0.01193 0.01519 0.01238 0.57052 0.34087
0.04820 0.00428 0.01252 0.01642 0.01311 0.57570 0.32977
0.04634 0.00418 0.01269 0.01733 0.01373 0.56499 0.34075
0.04452 0.00408 0.01208 0.01465 0.01237 0.57023 0.34206
0.04802 0.00448 0.01313 0.01941 0.01436 0.55556 0.34505
0.04946 0.00474 0.01323 0.01786 0.01571 0.52442 0.37458
0.04472 0.00407 0.01220 0.01416 0.01261 0.56178 0.35045
0.04415 0.00399 0.01205 0.01512 0.01262 0.58238 0.32968
0.05484 0.00545 0.01374 0.02546 0.01695 0.44558 0.43799
0.04089 0.00362 0.01128 0.01267 0.01062 0.60876 0.31216
0.04179 0.00372 0.01137 0.01353 0.01096 0.60849 0.31014
0.05625 0.00529 0.01514 0.02055 0.01665 0.52917 0.35696
0.04945 0.00473 0.01277 0.02178 0.01451 0.62229 0.27448
0.06027 0.00604 0.01526 0.03187 0.01862 0.63338 0.23456
0.04566 0.00448 0.01318 0.01997 0.01402 0.55763 0.34506
0.04538 0.00407 0.01210 0.01693 0.01265 0.57003 0.33884
0.04592 0.00419 0.01201 0.01679 0.01279 0.60347 0.30483
0.04595 0.00420 0.01254 0.01746 0.01319 0.57634 0.33032
0.04274 0.00383 0.01169 0.01354 0.01150 0.58756 0.32915
0.04452 0.00406 0.01186 0.01526 0.01221 0.58502 0.32707
0.05353 0.00488 0.01329 0.02218 0.01745 0.51267 0.37601
0.05053 0.00473 0.01350 0.02110 0.01486 0.51287 0.38241
0.04651 0.00420 0.01231 0.01602 0.01284 0.57801 0.33012
0.04253 0.00384 0.01153 0.01376 0.01141 0.58792 0.32902
0.04823 0.00430 0.01245 0.01736 0.01326 0.57627 0.32813
0.04379 0.00386 0.01193 0.01474 0.01188 0.58225 0.33155
0.05053 0.00455 0.01313 0.01604 0.01476 0.51173 0.38926
0.04305 0.00382 0.01176 0.01384 0.01153 0.58543 0.33056
0.04914 0.00463 0.01262 0.01902 0.01422 0.58375 0.31661
0.05695 0.00566 0.01479 0.02636 0.01961 0.47771 0.39893
0.04341 0.00393 0.01178 0.01479 0.01207 0.57640 0.33762
0.04458 0.00406 0.01211 0.01409 0.01248 0.56601 0.34667
0.04435 0.00398 0.01191 0.01522 0.01184 0.57763 0.33507
0.05323 0.00515 0.01400 0.02335 0.01762 0.49324 0.39341
0.04468 0.00399 0.01193 0.01571 0.01233 0.59226 0.31911
0.04298 0.00386 0.01173 0.01441 0.01126 0.58773 0.32802
0.04348 0.00376 0.01149 0.01436 0.01116 0.60211 0.31364
0.04838 0.00464 0.01254 0.01867 0.01304 0.56276 0.33996
0.04286 0.00379 0.01168 0.01390 0.01137 0.60276 0.31364
0.04665 0.00439 0.01266 0.01732 0.01299 0.60181 0.30419
0.04156 0.00366 0.01133 0.01317 0.01083 0.60499 0.31445
0.04642 0.00427 0.01211 0.01806 0.01290 0.56501 0.34124
0.04407 0.00409 0.01224 0.01580 0.01246 0.58865 0.32269
0.04599 0.00428 0.01237 0.01801 0.01291 0.59271 0.31373
0.04372 0.00396 0.01187 0.01429 0.01197 0.58910 0.32509
0.04551 0.00415 0.01212 0.01481 0.01229 0.57528 0.33585
0.05742 0.00584 0.01418 0.02679 0.01997 0.46728 0.40852
0.04942 0.00469 0.01305 0.01832 0.01552 0.55144 0.34757
0.04888 0.00458 0.01249 0.01716 0.01394 0.56318 0.33977
0.06439 0.00674 0.01705 0.04473 0.02431 0.44592 0.39686
0.04546 0.00424 0.01239 0.01617 0.01357 0.56243 0.34575
0.04828 0.00444 0.01250 0.01733 0.01347 0.56269 0.34129
0.04635 0.00436 0.01225 0.01693 0.01285 0.53119 0.37607
0.04174 0.00379 0.01146 0.01342 0.01104 0.58314 0.33542
0.04606 0.00426 0.01235 0.01622 0.01285 0.58486 0.32341
0.05085 0.00507 0.01354 0.02215 0.01633 0.50371 0.38836
0.04264 0.00377 0.01162 0.01405 0.01139 0.59371 0.32282
0.05427 0.00480 0.01372 0.01691 0.01584 0.48496 0.40950
0.04318 0.00389 0.01176 0.01360 0.01167 0.58460 0.33130
0.04702 0.00433 0.01229 0.01971 0.01407 0.60566 0.29692
0.04721 0.00432 0.01219 0.01606 0.01300 0.57497 0.33225
0.04631 0.00427 0.01222 0.01629 0.01291 0.59939 0.30862
0.04379 0.00396 0.01185 0.01400 0.01193 0.58450 0.32998
0.04229 0.00371 0.01145 0.01345 0.01105 0.60878 0.30927
0.04298 0.00392 0.01193 0.01389 0.01173 0.59246 0.32309
0.04921 0.00452 0.01318 0.01878 0.01452 0.53105 0.36873
0.04664 0.00419 0.01225 0.01717 0.01371 0.59918 0.30686
0.04481 0.00410 0.01214 0.01569 0.01240 0.57468 0.33617
0.04300 0.00379 0.01159 0.01407 0.01120 0.59805 0.31831
0.04331 0.00394 0.01178 0.01434 0.01196 0.57972 0.33495
0.04813 0.00442 0.01265 0.01621 0.01357 0.57420 0.33082
0.04649 0.00454 0.01266 0.01705 0.01429 0.53609 0.36888
0.04257 0.00382 0.01153 0.01333 0.01120 0.60119 0.31636
0.05542 0.00534 0.01421 0.02443 0.01734 0.47936 0.40390
0.04650 0.00412 0.01247 0.01776 0.01261 0.56132 0.34522
0.04462 0.00410 0.01210 0.01627 0.01298 0.58224 0.32770
0.05204 0.00519 0.01301 0.02084 0.01561 0.50363 0.38967
0.06704 0.00786 0.01721 0.04565 0.03022 0.42052 0.41150
0.04929 0.00449 0.01301 0.01613 0.01443 0.52561 0.37703
0.04232 0.00374 0.01166 0.01325 0.01106 0.59510 0.32288
0.04516 0.00457 0.01218 0.01745 0.01365 0.58917 0.31781
0.04350 0.00417 0.01217 0.01513 0.01231 0.56426 0.34845
0.04626 0.00435 0.01234 0.01711 0.01391 0.54970 0.35633
0.04386 0.00413 0.01189 0.01488 0.01260 0.56686 0.34578
0.04244 0.00385 0.01161 0.01400 0.01139 0.59843 0.31829
0.05433 0.00515 0.01358 0.02225 0.01668 0.54060 0.34740
0.05838 0.00595 0.01536 0.03154 0.02074 0.43438 0.43366
0.05422 0.00513 0.01388 0.02408 0.01740 0.55837 0.32691
0.04507 0.00413 0.01227 0.01583 0.01240 0.56227 0.34803
0.04289 0.00388 0.01184 0.01373 0.01218 0.57598 0.33950
0.05082 0.00480 0.01333 0.02053 0.01465 0.57224 0.32363
0.04812 0.00456 0.01281 0.01881 0.01388 0.60552 0.29630
0.04215 0.00369 0.01136 0.01305 0.01093 0.60680 0.31202
0.04433 0.00404 0.01208 0.01467 0.01236 0.57331 0.33922
0.04325 0.00384 0.01171 0.01341 0.01150 0.57314 0.34315
0.04941 0.00437 0.01282 0.01534 0.01384 0.53208 0.37214
0.04526 0.00410 0.01211 0.01513 0.01273 0.58068 0.32999
0.04824 0.00433 0.01302 0.01707 0.01422 0.56447 0.33864
0.04425 0.00398 0.01193 0.01476 0.01188 0.59464 0.31856
0.04260 0.00375 0.01165 0.01405 0.01133 0.59813 0.31848
0.04208 0.00376 0.01174 0.01372 0.01123 0.60095 0.31653
0.04116 0.00361 0.01124 0.01304 0.01080 0.61216 0.30799
0.05011 0.00463 0.01266 0.01984 0.01514 0.58766 0.30995
0.04344 0.00389 0.01178 0.01446 0.01145 0.57869 0.33630
0.04175 0.00365 0.01145 0.01342 0.01100 0.60711 0.31161
0.04200 0.00375 0.01157 0.01350 0.01097 0.59621 0.32200
0.04552 0.00414 0.01223 0.01549 0.01284 0.57243 0.33736
0.05384 0.00548 0.01433 0.02161 0.01908 0.48235 0.40330
0.04589 0.00416 0.01248 0.01649 0.01317 0.58149 0.32634
0.04695 0.00440 0.01237 0.01729 0.01358 0.57562 0.32979
0.04488 0.00415 0.01189 0.01440 0.01293 0.58723 0.32452
0.04843 0.00456 0.01306 0.02010 0.01457 0.51392 0.38536
0.04494 0.00412 0.01196 0.01668 0.01244 0.60019 0.30968
0.04275 0.00380 0.01194 0.01471 0.01214 0.59440 0.32026
0.04300 0.00381 0.01166 0.01428 0.01118 0.59441 0.32167
0.04710 0.00416 0.01241 0.01588 0.01296 0.57377 0.33373
0.04568 0.00415 0.01209 0.01568 0.01243 0.58221 0.32776
0.04571 0.00418 0.01266 0.01590 0.01308 0.56211 0.34636
0.05114 0.00468 0.01366 0.02077 0.01589 0.56679 0.32707
0.04876 0.00459 0.01310 0.02067 0.01416 0.51408 0.38464
0.05252 0.00491 0.01360 0.02184 0.01503 0.53187 0.36023
0.04798 0.00420 0.01237 0.01674 0.01318 0.57031 0.33522
0.05186 0.00507 0.01362 0.02139 0.01645 0.49684 0.39477
0.08422 0.01118 0.02032 0.07752 0.05556 0.26182 0.48938
0.04172 0.00368 0.01136 0.01317 0.01104 0.60159 0.31743
0.04333 0.00387 0.01179 0.01438 0.01166 0.59464 0.32033
0.04511 0.00412 0.01184 0.01672 0.01226 0.59127 0.31867
0.04909 0.00470 0.01280 0.01925 0.01661 0.53678 0.36076
0.04365 0.00398 0.01180 0.01457 0.01146 0.58122 0.33332
0.05239 0.00485 0.01352 0.02047 0.01525 0.55788 0.33565
0.06504 0.00695 0.01565 0.04295 0.02256 0.36036 0.48649
0.05101 0.00476 0.01350 0.01990 0.01583 0.55461 0.34039
0.04579 0.00425 0.01209 0.01704 0.01261 0.57711 0.33112
0.04367 0.00384 0.01177 0.01446 0.01187 0.60171 0.31268
0.04752 0.00444 0.01216 0.01742 0.01282 0.59581 0.30984
0.04265 0.00377 0.01156 0.01344 0.01127 0.60207 0.31522
0.04632 0.00421 0.01238 0.01661 0.01274 0.56410 0.34364
0.04343 0.00389 0.01189 0.01519 0.01169 0.58854 0.32537
0.04341 0.00414 0.01244 0.01502 0.01261 0.57497 0.33740
0.04269 0.00375 0.01147 0.01337 0.01128 0.60624 0.31121
0.04159 0.00364 0.01138 0.01309 0.01080 0.60276 0.31675
0.04260 0.00384 0.01161 0.01416 0.01150 0.58532 0.33096
0.04947 0.00460 0.01308 0.01917 0.01413 0.58615 0.31342
0.04421 0.00415 0.01205 0.01559 0.01218 0.57763 0.33420
0.04187 0.00369 0.01148 0.01304 0.01112 0.59698 0.32182
0.04344 0.00379 0.01167 0.01423 0.01145 0.61074 0.30468
0.04272 0.00376 0.01155 0.01369 0.01135 0.59932 0.31761
0.04832 0.00475 0.01248 0.01837 0.01452 0.54288 0.35869
0.04840 0.00473 0.01359 0.01745 0.01592 0.48348 0.41642
0.04450 0.00399 0.01181 0.01463 0.01192 0.59102 0.32213
0.04448 0.00405 0.01213 0.01544 0.01233 0.59226 0.31929
0.04234 0.00374 0.01155 0.01330 0.01113 0.60383 0.31411
0.04468 0.00396 0.01211 0.01659 0.01232 0.57323 0.33710
0.04335 0.00405 0.01187 0.01462 0.01198 0.58033 0.33381
0.04357 0.00392 0.01172 0.01422 0.01165 0.59252 0.32240
